# --------------------------------------------------------------
# Station name       Lat     Lon                 Description
# --------------------------------------------------------------
AAZ                 34.00  -109.00   ApacheNF Arizona
ABI                  5.43    -3.97   Abidjan Cote d'Ivoire
ALA                  9.98   -84.21   Alajuela/Heredia, Costa Rica
ALE                 47.73    88.08   Altai, Russia 
ALH                 38.87   -89.62   Alhambra, IL
ALT                 82.45   -62.52   Alert N.W.T.
ANN                 42.42   -83.90   Ann Arbor, MI
AMS                -37.83    77.57   New Amsterdam Island Indian O. 
ARK                 55.00    13.00   Arkona, Germany
ASC                 -7.98   -14.42   Ascension Island (St. Helena) Atlantic 
ASH                 46.60   -68.41   Ashland, ME
ASK                 23.18     5.42   Assekrem Algeria
ASP                -37.90   144.70   Asp./Laverton Australia
ATL                 33.64   -84.40   Atlanta Georgia
AVI                 17.75   -64.75   St. Croix Virgin Islands
AZR                 38.77   -27.38   Azores Atlantic O. 
BAL                 55.50    16.66   Baltic Sea
BAN                 13.70   100.80   Bang Talat Thailand 
BEI                 39.80   116.18   Beijing China
BHD                -41.28   174.87   Baring Head Wellington New Zealand 
BIS                 44.00    -1.00   Biscarosse France
BIT                 58.00  -112.00   Bitumount Canada
BLD                 40.00  -105.25   Boulder Colorado
BLU                 35.50   -82.60   Blue Ridge Parkway, NC
BME                 32.37   -64.65   Bermuda St Davids Head
BMW                 32.27   -65.88   Bermuda Southhampton
BOB                -75.00    31.00   Antartica 
BOG                  4.50   -74.00   Bogota Columbia
BON                 40.05   -88.37   Bondville,  IL
BRA                 -4.00    15.00   Brazzaville Congo
BRW                 71.32  -156.60   Barrow Alaska
BSC                 44.17    28.68   Black Sea Constanta 
CAD                 34.18   -93.10   Caddo Valley, AR
CAG                 39.00     9.00   Cagliari Sardinia
CAI                 30.10    31.39   Cairo Egypt
CAN                 38.46  -109.80   Canyonlands NP UT
CAR                 10.50   -66.97   Caracas Venezuela
CBA                 55.20  -162.72   Cold Bay Alaska 
CG2                -44.68   139.68   Indian Ocean (near Tasmania)
CGO                -40.68   144.68   Cape Grim Tasmania 
CHA                 32.01  -109.40   Chiricahua NM AZ
CHI                 41.86   -87.68   Chicago USA
CHJ                 33.52   126.48   Cheju Korea
CHR                  1.70  -157.17   Christmas Island
CHT                -43.92  -176.50   Chatham Island Pacific O.
CHU                 58.70   -94.00   Churchhill Canada
CIN                 39.17   -84.45   Cincinnati Ohio
CKI                -21.25  -159.75   Cook Island Pacific O.
CLA                  5.00   -60.00   LBA-CLAIRE 
CMO                 45.48  -123.97   Cape Mears Oregon 
CMT                 45.00  -106.00   CusterNF Montana
CMW                 45.48  -128.97   North Pacific Ocean (near Portland 
CNC                 35.00   -77.00   CroatonNF North Carolina 
CNT                 41.36  -106.24   Centennial WY
COF                 34.00   -89.80   Coffeeville, MS
COM                 43.46  -113.56   Craters_of_the_Moon, Idaho 
CON                 42.40   -76.65   Connecticut Hill, NY
COT                  6.21     2.23   Cotonou Benin
CPT                -34.35    18.48   Cape Point South Africa
