# --------------------------------------------------------------
# Station name       Lat     Lon                 Description
# --------------------------------------------------------------
ALE                 47.73    88.08   Altai, Russia                                     
ALT                 82.45   -62.52   Alert N.W.T.                                      
ANN                 42.42   -83.90   Ann Arbor, MI                                     
ARK                 55.00    13.00   Arkona, Germany                                   
ASH                 46.60   -68.41   Ashland, ME                                       
BAL                 55.50    16.66   Baltic Sea                                        
BHD                -41.28   174.87   Baring Head Wellington New Zealand                
BIS                 44.00    -1.00   Biscarosse France                                 
BIT                 58.00  -112.00   Bitumount Canada                                  
BLD                 40.00  -105.25   Boulder Colorado                                  
BOB                -75.00    31.00   Antartica                                         
BON                 40.05   -88.37   Bondville,  IL                                    
BRW                 71.32  -156.60   Barrow Alaska                                     
BSC                 44.17    28.68   Black Sea Constanta                               
CBA                 55.20  -162.72   Cold Bay Alaska                                   
CG2                -44.68   139.68   Indian Ocean (near Tasmania)                      
CGO                -40.68   144.68   Cape Grim Tasmania                                
CHI                 41.86   -87.68   Chicago USA                                       
CHT                -43.92  -176.50   Chatham Island Pacific O.                         
CHU                 58.70   -94.00   Churchhill Canada                                 
CMO                 45.48  -123.97   Cape Mears Oregon                                 
CMT                 45.00  -106.00   CusterNF Montana                                  
CMW                 45.48  -128.97   North Pacific Ocean (near Portland                
CNT                 41.36  -106.24   Centennial WY                                     
COM                 43.46  -113.56   Craters_of_the_Moon, Idaho                        
CON                 42.40   -76.65   Connecticut Hill, NY                              
CRZ                -46.45    51.85   Crozet Indian O.                                  
CWI                 45.00   -92.00   Chequamegon Wisconsin                             
DFO                 40.00   -82.00   Duncan Falls Ohio                                 
EDM                 53.50  -114.00   Edmonton, Canada                                  
EGB                 44.23   -79.78   Egbert                                            
EUR                 80.00   -86.70   Eureka Canada                                     
FOR                -71.00    12.00   Forster Antarctica                                
FRA                 50.05     8.57   Frankfurt Germany                                 
FWI                 41.00   -85.00   Fort Wayne Indiana                                
GBO                 53.30   -60.40   Goose Bay Canada                                  
GLR                 48.51  -114.00   Glacier NP MT                                     
GMV                 44.00   -73.00   Green Mountain Vermont                            
HAR                 42.50   -71.20   Harvard Forest Massachusetts                      
HBA                -75.56   -26.50   Halley Station Antarctica                         
HOH                 47.80    11.00   Hohenpeissenberg Germany                          
HUN                 46.95    16.65   Hegyhatsal Hungary                                
I40                 40.00  -180.00   International Date Line 40N Pacific               
I50                 50.00  -180.00   International Date Line 50N Pacific               
ICE                 63.25   -20.15   Heimaey Vestmannaeyjar Iceland                    
INV                -46.43   168.35   Invercargil New Zealand                           
JUN                 46.50     8.00   Jungfraujoch Switzerland                          
KEL                 49.93  -119.40   Kelowna                                           
KER                -49.00    70.00   Kerguelen Indian O.                               
KGI                -62.18   -58.30   King George Island Antarctica                     
KZD                 44.45    77.57   Sary Taukum Kazakhstan                            
KZM                 43.25    77.88   Plateau Assy Kazakhstan                           
LAU                -45.04   169.68   Lauder New Zealand                                
LAV                 40.54  -121.60   Lassen Volcanic NP CA                             
LEF                 45.93   -90.27   Park Falls Wisconsin                              
LGN                 53.00    21.00   Legionowo Poland                                  
LIN                 52.00    14.00   Lindenberg Germany                                
LON                 44.44   127.36   Longfengshan                                      
MAQ                -54.50   159.00   MacQuarie Pacific O.                              
MAR                -64.20   -56.60   Marambio Antarctica                               
MAW                -67.60    62.50   Mawson Antarctica                                 
MBC                 76.25  -119.35   Mould Bay Northwest Territories                   
MBO                 44.00  -121.70   Mount Bachelor Oregon                             
MCM                -77.83   166.60   McMurdo Station Antarctica                        
MHD                 53.33    -9.90   Mace Head Galway Ireland                          
MKG                 41.43   -80.15   M.K. Goddard State Park, PA                       
MND                 51.65   100.92   Mondy Siberia                                     
MON                 43.00   -73.00   Montaque Massachusetts                            
MOS                 44.40   142.30   Moshiri Japan                                     
NEU                -71.00    -8.00   Neumayer Antarctica                               
